Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,32.172676,33.159393,31.736242,33.092979,31.463291,42034469
2020-03-03,33.377609,33.946869,32.125237,32.542694,30.940105,46174475
2020-03-04,33.301708,34.592030,33.159393,34.535103,32.834396,38712155
2020-03-05,33.823528,34.326378,33.358635,33.643265,31.986475,35096303
2020-03-06,32.922199,33.368122,32.371918,33.225807,31.589577,40931036
2020-03-09,31.745731,32.912712,31.461102,32.030361,30.453003,43183856
2020-03-10,32.798862,32.884251,31.318787,32.817837,31.201698,40548329
2020-03-11,32.030361,32.144215,30.037951,30.521822,29.018753,65350213
2020-03-12,28.918406,30.360531,28.462997,28.481974,27.079357,62731445
2020-03-13,29.667933,31.195446,28.681213,31.034157,29.505859,60553038
2020-03-16,28.406073,30.626186,28.130930,28.633776,27.223684,50995050
2020-03-17,30.018974,30.977230,29.022770,30.512335,29.009733,54220606
2020-03-18,29.193548,30.939280,28.757116,30.702087,29.190144,43884976
2020-03-19,30.569260,30.597723,28.472486,28.861481,27.440176,59820929
2020-03-20,28.728653,29.098673,27.428843,27.523720,26.168295,52488989
2020-03-23,27.286528,28.064516,26.451612,27.030361,25.699234,52853041
2020-03-24,27.998102,28.510435,27.419355,28.178368,26.790705,44466784
2020-03-25,27.988615,29.146111,27.514231,28.225805,26.835806,44601275
2020-03-26,28.358635,30.351044,28.349146,30.123341,28.639896,43269967
2020-03-27,29.222012,30.113852,29.089184,29.316889,27.873158,38290344
2020-03-30,29.459204,31.166983,29.459204,30.996204,29.469774,29943508
2020-03-31,30.740038,31.309298,30.588236,30.967743,29.442715,29466151
2020-04-01,30.284630,30.626186,29.914612,30.123341,28.639896,26709625
2020-04-02,30.265656,31.309298,30.123341,31.185959,29.650187,27186876
2020-04-03,30.958254,32.153702,30.958254,31.916510,30.344759,32837370
2020-04-06,32.182163,33.111954,32.049335,32.798862,31.183662,40503217
2020-04-07,33.206833,33.368122,31.869070,31.888046,30.317696,24226295
2020-04-08,32.248577,33.017078,31.726755,32.827324,31.210720,25523980
2020-04-09,33.235294,33.937382,33.064514,33.576851,31.923338,30648107
2020-04-13,34.117645,34.136623,32.941177,33.339657,31.697821,18270141
2020-04-14,34.089184,34.753323,33.529411,34.573055,32.870480,21845309
2020-04-15,34.212524,34.373814,33.757114,34.127136,32.446522,21312196
2020-04-16,34.269451,34.402279,33.757114,34.041744,32.365337,20657451
2020-04-17,34.629982,35.104362,34.259960,35.018974,33.294437,24404843
2020-04-20,34.516129,35.018974,34.231499,34.231499,32.545746,22530620
2020-04-21,33.946869,34.089184,33.557877,33.795067,32.130802,23975233
2020-04-22,35.066414,35.104362,34.269451,34.392788,32.699089,20182624
2020-04-23,34.421253,35.483871,34.421253,34.810246,33.095989,20185365
2020-04-24,34.952560,35.512333,34.895638,35.464897,33.718407,17353794
2020-04-27,35.664139,36.565464,35.645161,36.366222,34.575340,23394057
2020-04-28,37.049335,37.210625,35.464897,35.967743,34.196491,35666728
2020-04-29,36.489563,36.574951,35.777988,36.166985,34.385914,26518535
2020-04-30,36.053131,36.537003,35.445919,36.394688,34.602402,29450973
2020-05-01,35.910816,35.996204,35.474384,35.711575,33.952934,22679867
2020-05-04,35.673622,35.977230,35.493359,35.692600,33.934895,19893512
2020-05-05,36.821632,36.869068,36.309299,36.537003,34.737713,24123952
2020-05-06,36.973434,37.011387,36.537003,36.537003,34.737713,24047432
2020-05-07,36.442123,36.518028,35.000000,35.066414,33.671803,33546080
2020-05-08,35.341557,35.464897,35.142315,35.313091,33.908672,19893618
2020-05-11,35.341557,36.252373,35.256168,36.148006,34.710381,25620421
2020-05-12,36.166985,36.280834,35.426945,35.445919,34.036213,19335314
2020-05-13,35.398483,35.502846,34.715370,35.151802,33.753796,24596882
2020-05-14,34.914612,36.015179,34.895638,35.977230,34.546391,22362507
2020-05-15,36.015179,36.214420,35.474384,35.825428,34.400631,25460002
2020-05-18,36.375713,36.489563,35.702087,36.119545,34.683052,22635177
2020-05-19,35.910816,36.072105,35.398483,35.749527,34.327747,19476234
2020-05-20,36.005692,36.242886,35.626186,35.702087,34.282196,17504200
2020-05-21,35.645161,35.721062,35.151802,35.351044,33.945114,17652181
2020-05-22,35.208729,35.607212,35.066414,35.578747,34.163761,15781226
2020-05-26,35.721062,35.929790,35.531307,35.569260,34.154648,23260094
2020-05-27,35.493359,35.616699,35.075901,35.493359,34.081768,25904158
2020-05-28,35.901329,36.470589,35.787476,36.223907,34.783260,22521767
2020-05-29,36.309299,36.461102,35.654648,36.233398,34.792377,48333067
2020-06-01,33.681213,33.899429,33.121441,33.643265,32.305248,76884979
2020-06-02,33.709679,34.307400,33.444023,34.307400,32.942974,42690900
2020-06-03,34.430740,34.544594,33.719166,34.307400,32.942974,38751996
2020-06-04,33.880455,34.430740,33.870968,34.165085,32.806320,27013388
